State Name,Date,concat,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting,COVID,,,state,date,concat,positive
AL,1/1/20,AL.43831,49,Good,PM2.5,01-073-6004,9,not in list,,,WA,1/20/20,WA.1/20/20,0
AL,1/2/20,AL.43862,33,Good,PM2.5,01-073-2003,9,not in list,,,MA,1/20/20,MA.1/20/20,0
AL,1/3/20,AL.43891,42,Good,PM2.5,01-073-6004,9,not in list,,,WA,1/27/20,WA.1/27/20,0
AL,1/4/20,AL.43922,64,Moderate,PM2.5,01-073-6004,9,not in list,,,FL,1/27/20,FL.1/27/20,0
AL,1/5/20,AL.43952,53,Moderate,PM2.5,01-073-6004,9,not in list,,,MA,1/27/20,MA.1/27/20,0
AL,1/6/20,AL.43983,41,Good,PM2.5,01-073-6004,9,not in list,,,WA,2/3/20,WA.43892,0
AL,1/7/20,AL.44013,129,Unhealthy for Sensitive Groups,PM2.5,01-073-6004,9,not in list,,,NJ,2/3/20,NJ.43892,0
AL,1/8/20,AL.44044,56,Moderate,PM2.5,01-073-6004,9,not in list,,,MA,2/3/20,MA.43892,0
AL,1/9/20,AL.44075,56,Moderate,PM2.5,01-073-0023,9,not in list,,,FL,2/3/20,FL.43892,0
AL,1/10/20,AL.44105,44,Good,PM2.5,01-073-0023,9,not in list,,,FL,2/10/20,FL.44106,0
AL,1/11/20,AL.44136,39,Good,PM2.5,01-073-6004,9,not in list,,,NJ,2/10/20,NJ.44106,0
AL,1/12/20,AL.44166,31,Good,PM2.5,01-073-1010,9,not in list,,,NE,2/10/20,NE.44106,0
AL,1/13/20,AL.1/13/20,43,Good,PM2.5,01-073-2003,9,not in list,,,WA,2/10/20,WA.44106,0
AL,1/14/20,AL.1/14/20,30,Good,NO2,01-073-0023,9,not in list,,,MA,2/10/20,MA.44106,0
AL,1/15/20,AL.1/15/20,35,Good,PM2.5,01-073-2003,9,not in list,,,FL,2/17/20,FL.2/17/20,0
AL,1/16/20,AL.1/16/20,31,Good,Ozone,01-073-0023,9,not in list,,,NJ,2/17/20,NJ.2/17/20,0
AL,1/17/20,AL.1/17/20,34,Good,Ozone,01-073-0023,8,not in list,,,NE,2/17/20,NE.2/17/20,0
AL,1/18/20,AL.1/18/20,34,Good,PM2.5,01-073-6004,8,not in list,,,WA,2/17/20,WA.2/17/20,0
AL,1/19/20,AL.1/19/20,37,Good,Ozone,01-073-0023,8,not in list,,,MA,2/17/20,MA.2/17/20,0
AL,1/20/20,AL.1/20/20,39,Good,PM2.5,01-073-0023,8,not in list,,,NY,2/24/20,NY.2/24/20,0
AL,1/21/20,AL.1/21/20,36,Good,PM2.5,01-073-2003,8,not in list,,,VA,2/24/20,VA.2/24/20,0
AL,1/22/20,AL.1/22/20,40,Good,NO2,01-073-0023,8,not in list,,,NE,2/24/20,NE.2/24/20,0
AL,1/23/20,AL.1/23/20,33,Good,PM2.5,01-073-2003,8,not in list,,,RI,2/24/20,RI.2/24/20,4
AL,1/24/20,AL.1/24/20,73,Moderate,PM2.5,01-073-6004,9,not in list,,,IN,2/24/20,IN.2/24/20,0
AL,1/25/20,AL.1/25/20,51,Moderate,PM2.5,01-073-6004,8,not in list,,,MI,2/24/20,MI.2/24/20,41
AL,1/26/20,AL.1/26/20,54,Moderate,PM2.5,01-073-0023,8,not in list,,,WA,2/24/20,WA.2/24/20,117
AL,1/27/20,AL.1/27/20,45,Good,PM2.5,01-073-6004,8,not in list,,,NJ,2/24/20,NJ.2/24/20,0
AL,1/28/20,AL.1/28/20,67,Moderate,PM2.5,01-073-0023,9,not in list,,,FL,2/24/20,FL.2/24/20,0
AL,1/29/20,AL.1/29/20,39,Good,PM2.5,01-073-2003,8,not in list,,,MA,2/24/20,MA.2/24/20,0
AL,1/30/20,AL.1/30/20,54,Moderate,PM2.5,01-073-0023,8,not in list,,,WY,2/24/20,WY.2/24/20,0
AL,1/31/20,AL.1/31/20,48,Good,PM2.5,01-073-2003,8,not in list,,,NC,3/2/20,NC.43864,10
AL,2/1/20,AL.43832,46,Good,PM2.5,01-073-0023,8,not in list,,,MT,3/2/20,MT.43864,0
AL,2/2/20,AL.43863,39,Good,Ozone,01-073-0023,8,not in list,,,MS,3/2/20,MS.43864,0
AL,2/3/20,AL.43892,46,Good,PM2.5,01-073-2003,9,not in list,,,NH,3/2/20,NH.43864,16
AL,2/4/20,AL.43923,42,Good,Ozone,01-073-0023,8,not in list,,,NE,3/2/20,NE.43864,5
AL,2/5/20,AL.43953,34,Good,PM2.5,01-073-0023,8,not in list,,,NJ,3/2/20,NJ.43864,23
AL,2/6/20,AL.43984,59,Moderate,PM2.5,01-073-6004,8,not in list,,,AR,3/2/20,AR.43864,0
AL,2/7/20,AL.44014,99,Moderate,PM2.5,01-073-6004,8,not in list,,,NV,3/2/20,NV.43864,17
AL,2/8/20,AL.44045,46,Good,PM2.5,01-073-6004,8,not in list,,,NM,3/2/20,NM.43864,0
AL,2/9/20,AL.44076,39,Good,PM2.5,01-073-2003,9,not in list,,,ND,3/2/20,ND.43864,0
AL,2/10/20,AL.44106,33,Good,Ozone,01-073-0023,8,not in list,,,MO,3/2/20,MO.43864,2
AL,2/11/20,AL.44137,33,Good,PM2.5,01-073-6004,8,not in list,,,AK,3/2/20,AK.43864,0
AL,2/12/20,AL.44167,35,Good,PM2.5,01-073-2003,8,not in list,,,MI,3/2/20,MI.43864,1175
AL,2/13/20,AL.2/13/20,48,Good,PM2.5,01-073-6004,8,not in list,,,CO,3/2/20,CO.43864,41
AL,2/14/20,AL.2/14/20,33,Good,Ozone,01-073-0023,8,not in list,,,CT,3/2/20,CT.43864,2
AL,2/15/20,AL.2/15/20,53,Moderate,PM2.5,01-073-1010,9,not in list,,,DC,3/2/20,DC.43864,2
AL,2/16/20,AL.2/16/20,56,Moderate,PM2.5,01-073-0023,8,not in list,,,DE,3/2/20,DE.43864,0
AL,2/17/20,AL.2/17/20,38,Good,PM2.5,01-073-2003,8,not in list,,,FL,3/2/20,FL.43864,53
AL,2/18/20,AL.2/18/20,28,Good,PM2.5,01-073-2003,8,not in list,,,AZ,3/2/20,AZ.43864,22
AL,2/19/20,AL.2/19/20,35,Good,PM2.5,01-073-0023,7,not in list,,,GA,3/2/20,GA.43864,31
AL,2/20/20,AL.2/20/20,31,Good,Ozone,01-073-0023,8,not in list,,,HI,3/2/20,HI.43864,4
AL,2/21/20,AL.2/21/20,50,Good,PM2.5,01-073-1010,9,not in list,,,IA,3/2/20,IA.43864,3
AL,2/22/20,AL.2/22/20,45,Good,PM2.5,01-073-0023,8,not in list,,,ID,3/2/20,ID.43864,0
AL,2/23/20,AL.2/23/20,64,Moderate,PM2.5,01-073-2003,8,not in list,,,IL,3/2/20,IL.43864,33
AL,2/24/20,AL.2/24/20,51,Moderate,PM2.5,01-073-0023,8,not in list,,,IN,3/2/20,IN.43864,6
AL,2/25/20,AL.2/25/20,51,Moderate,PM2.5,01-073-6004,8,not in list,,,KS,3/2/20,KS.43864,2
AL,2/26/20,AL.2/26/20,37,Good,PM2.5,01-073-6004,8,not in list,,,KY,3/2/20,KY.43864,6
AL,2/27/20,AL.2/27/20,39,Good,Ozone,01-073-0023,9,not in list,,,LA,3/2/20,LA.43864,1
AL,2/28/20,AL.2/28/20,55,Moderate,PM2.5,01-073-6004,8,not in list,,,NY,3/2/20,NY.43864,214
AL,2/29/20,AL.2/29/20,44,Good,Ozone,01-073-0023,8,not in list,,,MA,3/2/20,MA.43864,0
AL,3/1/20,AL.43833,62,Moderate,PM2.5,01-073-2003,8,not in list,,,MD,3/2/20,MD.43864,14
AL,3/2/20,AL.43864,44,Good,Ozone,01-073-1003,8,0,,,ME,3/2/20,ME.43864,0
AL,3/3/20,AL.43893,69,Moderate,PM2.5,01-073-6004,8,not in list,,,MN,3/2/20,MN.43864,10
AL,3/4/20,AL.43924,43,Good,PM2.5,01-073-2059,9,not in list,,,OH,3/2/20,OH.43864,3
AL,3/5/20,AL.43954,38,Good,Ozone,01-073-5003,8,not in list,,,CA,3/2/20,CA.43864,437
AL,3/6/20,AL.43985,43,Good,PM2.5,01-073-6004,8,not in list,,,OR,3/2/20,OR.43864,44
AL,3/7/20,AL.44015,41,Good,Ozone,01-073-0023,8,not in list,,,WY,3/2/20,WY.43864,0
AL,3/8/20,AL.44046,45,Good,PM2.5,01-073-0023,8,not in list,,,TX,3/2/20,TX.43864,35
AL,3/9/20,AL.44077,54,Moderate,PM2.5,01-073-2003,8,47,,,WV,3/2/20,WV.43864,0
AL,3/10/20,AL.44107,35,Good,Ozone,01-073-0023,9,not in list,,,UT,3/2/20,UT.43864,3
AL,3/11/20,AL.44138,35,Good,PM2.5,01-073-2003,8,not in list,,,SC,3/2/20,SC.43864,11
AL,3/12/20,AL.44168,42,Good,PM2.5,01-073-2003,8,not in list,,,PA,3/2/20,PA.43864,22
AL,3/13/20,AL.3/13/20,42,Good,PM2.5,01-073-2003,8,not in list,,,VA,3/2/20,VA.43864,5
AL,3/14/20,AL.3/14/20,48,Good,PM2.5,01-073-6004,8,not in list,,,TN,3/2/20,TN.43864,9
AL,3/15/20,AL.3/15/20,24,Good,PM2.5,01-073-1005,8,not in list,,,RI,3/2/20,RI.43864,20
AL,3/16/20,AL.3/16/20,44,Good,PM2.5,01-073-0023,9,660,,,WA,3/2/20,WA.43864,1566
AL,3/17/20,AL.3/17/20,75,Moderate,PM2.5,01-073-0023,8,not in list,,,SD,3/2/20,SD.43864,0
AL,3/18/20,AL.3/18/20,58,Moderate,PM2.5,01-073-0023,8,not in list,,,OK,3/2/20,OK.43864,3
AL,3/19/20,AL.3/19/20,43,Good,PM2.5,01-073-2003,8,not in list,,,VT,3/2/20,VT.43864,2
AL,3/20/20,AL.3/20/20,40,Good,PM2.5,01-073-2003,8,not in list,,,AL,3/2/20,AL.43864,0
AL,3/21/20,AL.3/21/20,28,Good,PM2.5,01-073-0023,8,not in list,,,WI,3/2/20,WI.43864,6
AL,3/22/20,AL.3/22/20,34,Good,PM2.5,01-073-2003,9,not in list,,,FL,3/9/20,FL.44077,359
AL,3/23/20,AL.3/23/20,51,Moderate,PM2.5,01-073-6004,8,3952,,,ME,3/9/20,ME.44077,27
AL,3/24/20,AL.3/24/20,46,Good,PM2.5,01-073-2003,8,not in list,,,AS,3/9/20,AS.44077,0
AL,3/25/20,AL.3/25/20,40,Good,Ozone,01-073-0023,8,not in list,,,SD,3/9/20,SD.44077,50
AL,3/26/20,AL.3/26/20,49,Good,Ozone,01-073-2003,9,not in list,,,MI,3/9/20,MI.44077,10424
AL,3/27/20,AL.3/27/20,67,Moderate,PM2.5,01-073-2003,9,not in list,,,AZ,3/9/20,AZ.44077,75
AL,3/28/20,AL.3/28/20,59,Moderate,PM2.5,01-073-2003,9,not in list,,,MD,3/9/20,MD.44077,138
AL,3/29/20,AL.3/29/20,55,Moderate,PM2.5,01-073-6004,9,not in list,,,TN,3/9/20,TN.44077,181
AL,3/30/20,AL.3/30/20,46,Good,Ozone,01-073-6004,9,10067,,,WI,3/9/20,WI.44077,153
AL,3/31/20,AL.3/31/20,37,Good,Ozone,01-073-5003,9,not in list,,,AL,3/9/20,AL.44077,47
AL,4/1/20,AL.43834,46,Good,Ozone,01-073-0023,9,not in list,,,TX,3/9/20,TX.44077,260
AL,4/2/20,AL.43865,44,Good,Ozone,01-073-1005,9,not in list,,,OH,3/9/20,OH.44077,124
AL,4/3/20,AL.43894,60,Moderate,PM2.5,01-073-2059,9,not in list,,,UT,3/9/20,UT.44077,87
AL,4/4/20,AL.43925,55,Moderate,PM2.5,01-073-1005,9,not in list,,,WA,3/9/20,WA.44077,6967
AL,4/5/20,AL.43955,58,Moderate,Ozone,01-073-0023,9,not in list,,,GA,3/9/20,GA.44077,398
