,date,Name,state,FIPS,positive,AQI,date_str
785,2020-01-20,Massachusetts,MA,25,0,34.33333333,01/20/2020
1950,2020-01-20,Washington,WA,53,0,35.0,01/20/2020
1951,2020-01-27,Washington,WA,53,0,38.0,01/27/2020
786,2020-01-27,Massachusetts,MA,25,0,31.71428571,01/27/2020
369,2020-01-27,Florida,FL,12,0,44.66666667,01/27/2020
1287,2020-02-03,New Jersey,NJ,34,0,44.0,02/03/2020
787,2020-02-03,Massachusetts,MA,25,0,34.0,02/03/2020
1952,2020-02-03,Washington,WA,53,0,34.71428571,02/03/2020
370,2020-02-03,Florida,FL,12,0,48.14285714,02/03/2020
1953,2020-02-10,Washington,WA,53,0,35.14285714,02/10/2020
1202,2020-02-10,Nebraska,NE,31,0,29.16666667,02/10/2020
788,2020-02-10,Massachusetts,MA,25,0,40.28571429,02/10/2020
1288,2020-02-10,New Jersey,NJ,34,0,38.28571429,02/10/2020
371,2020-02-10,Florida,FL,12,0,40.85714286,02/10/2020
1289,2020-02-17,New Jersey,NJ,34,0,38.85714286,02/17/2020
789,2020-02-17,Massachusetts,MA,25,0,39.57142857,02/17/2020
372,2020-02-17,Florida,FL,12,0,47.0,02/17/2020
1203,2020-02-17,Nebraska,NE,31,0,32.28571429,02/17/2020
1954,2020-02-17,Washington,WA,53,0,39.14285714,02/17/2020
790,2020-02-24,Massachusetts,MA,25,0,32.85714286,02/24/2020
2079,2020-02-24,Wyoming,WY,56,0,37.33333333,02/24/2020
914,2020-02-24,Michigan,MI,26,41,48.83333333,02/24/2020
1414,2020-02-24,New York,NY,36,0,43.16666667,02/24/2020
1867,2020-02-24,Virginia,VA,51,0,34.5,02/24/2020
1290,2020-02-24,New Jersey,NJ,34,0,49.14285714,02/24/2020
620,2020-02-24,Indiana,IN,18,0,45.0,02/24/2020
1620,2020-02-24,Rhode Island,RI,44,4,42.83333333,02/24/2020
1955,2020-02-24,Washington,WA,53,117,36.71428571,02/24/2020
1204,2020-02-24,Nebraska,NE,31,0,33.57142857,02/24/2020
373,2020-02-24,Florida,FL,12,0,43.0,02/24/2020
1868,2020-03-02,Virginia,VA,51,5,33.0,03/02/2020
82,2020-03-02,Arkansas,AR,5,0,46.33333333,03/02/2020
1579,2020-03-02,Pennsylvania,PA,42,22,44.33333333,03/02/2020
1538,2020-03-02,Oregon,OR,41,44,31.0,03/02/2020
744,2020-03-02,Louisiana,LA,22,1,39.5,03/02/2020
328,2020-03-02,Delaware,DE,10,0,39.5,03/02/2020
2080,2020-03-02,Wyoming,WY,56,0,35.14285714,03/02/2020
703,2020-03-02,Kentucky,KY,21,6,33.33333333,03/02/2020
0,2020-03-02,Alaska,AK,2,0,54.16666667,03/02/2020
287,2020-03-02,District of Columbia,DC,11,2,35.0,03/02/2020
915,2020-03-02,Michigan,MI,26,1175,44.0,03/02/2020
1997,2020-03-02,Wisconsin,WI,55,6,33.0,03/02/2020
1415,2020-03-02,New York,NY,36,214,43.0,03/02/2020
873,2020-03-02,Maine,ME,23,0,41.16666667,03/02/2020
1373,2020-03-02,Nevada,NV,32,17,79.83333333,03/02/2020
956,2020-03-02,Minnesota,MN,27,10,38.66666667,03/02/2020
1956,2020-03-02,Washington,WA,53,1566,43.14285714,03/02/2020
205,2020-03-02,Colorado,CO,8,41,47.83333333,03/02/2020
832,2020-03-02,Maryland,MD,24,14,23.5,03/02/2020
1456,2020-03-02,Ohio,OH,39,3,25.5,03/02/2020
246,2020-03-02,Connecticut,CT,9,2,34.66666667,03/02/2020
123,2020-03-02,Arizona,AZ,4,22,97.16666667,03/02/2020
1332,2020-03-02,New Mexico,NM,35,0,47.33333333,03/02/2020
997,2020-03-02,Missouri,MO,29,2,34.66666667,03/02/2020
791,2020-03-02,Massachusetts,MA,25,0,38.42857143,03/02/2020
2038,2020-03-02,West Virginia,WV,54,0,27.66666667,03/02/2020
662,2020-03-02,Kansas,KS,20,2,30.0,03/02/2020
1497,2020-03-02,Oklahoma,OK,40,3,28.33333333,03/02/2020
1909,2020-03-02,Vermont,VT,50,2,35.0,03/02/2020
1291,2020-03-02,New Jersey,NJ,34,23,32.85714286,03/02/2020
1079,2020-03-02,Montana,MT,30,0,19.83333333,03/02/2020
1038,2020-03-02,Mississippi,MS,28,0,41.5,03/02/2020
164,2020-03-02,California,CA,6,437,90.0,03/02/2020
1161,2020-03-02,North Dakota,ND,38,0,32.83333333,03/02/2020
1205,2020-03-02,Nebraska,NE,31,5,37.0,03/02/2020
1703,2020-03-02,South Dakota,SD,46,0,35.57142857,03/02/2020
538,2020-03-02,Idaho,ID,16,0,31.5,03/02/2020
497,2020-03-02,Iowa,IA,19,3,21.66666667,03/02/2020
1744,2020-03-02,Tennessee,TN,47,9,33.33333333,03/02/2020
415,2020-03-02,Georgia,GA,13,31,34.33333333,03/02/2020
1662,2020-03-02,South Carolina,SC,45,11,32.16666667,03/02/2020
579,2020-03-02,Illinois,IL,17,33,39.16666667,03/02/2020
1120,2020-03-02,North Carolina,NC,37,10,36.33333333,03/02/2020
1621,2020-03-02,Rhode Island,RI,44,20,40.71428571,03/02/2020
41,2020-03-02,Alabama,AL,1,0,47.0,03/02/2020
456,2020-03-02,Hawaii,HI,15,4,36.83333333,03/02/2020
374,2020-03-02,Florida,FL,12,53,41.42857143,03/02/2020
1785,2020-03-02,Texas,TX,48,35,69.66666667,03/02/2020
1826,2020-03-02,Utah,UT,49,3,43.83333333,03/02/2020
621,2020-03-02,Indiana,IN,18,6,41.14285714,03/02/2020
1246,2020-03-02,New Hampshire,NH,33,16,32.0,03/02/2020
1869,2020-03-09,Virginia,VA,51,190,33.85714286,03/09/2020
1663,2020-03-09,South Carolina,SC,45,98,35.0,03/09/2020
1374,2020-03-09,Nevada,NV,32,190,54.28571429,03/09/2020
2039,2020-03-09,West Virginia,WV,54,0,29.57142857,03/09/2020
1080,2020-03-09,Montana,MT,30,21,29.0,03/09/2020
916,2020-03-09,Michigan,MI,26,10424,48.14285714,03/09/2020
416,2020-03-09,Georgia,GA,13,398,37.14285714,03/09/2020
792,2020-03-09,Massachusetts,MA,25,230,41.42857143,03/09/2020
998,2020-03-09,Missouri,MO,29,20,28.28571429,03/09/2020
957,2020-03-09,Minnesota,MN,27,534,40.14285714,03/09/2020
539,2020-03-09,Idaho,ID,16,12,29.42857143,03/09/2020
1333,2020-03-09,New Mexico,NM,35,81,48.57142857,03/09/2020
124,2020-03-09,Arizona,AZ,4,75,61.28571429,03/09/2020
