State Name,State Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
AL,1,1/1/20,49,Good,PM2.5,01-073-6004,9
AL,1,1/2/20,33,Good,PM2.5,01-073-2003,9
AL,1,1/3/20,42,Good,PM2.5,01-073-6004,9
AL,1,1/4/20,64,Moderate,PM2.5,01-073-6004,9
AL,1,1/5/20,53,Moderate,PM2.5,01-073-6004,9
AL,1,1/6/20,41,Good,PM2.5,01-073-6004,9
AL,1,1/7/20,129,Unhealthy for Sensitive Groups,PM2.5,01-073-6004,9
AL,1,1/8/20,56,Moderate,PM2.5,01-073-6004,9
AL,1,1/9/20,56,Moderate,PM2.5,01-073-0023,9
AL,1,1/10/20,44,Good,PM2.5,01-073-0023,9
AL,1,1/11/20,39,Good,PM2.5,01-073-6004,9
AL,1,1/12/20,31,Good,PM2.5,01-073-1010,9
AL,1,1/13/20,43,Good,PM2.5,01-073-2003,9
AL,1,1/14/20,30,Good,NO2,01-073-0023,9
AL,1,1/15/20,35,Good,PM2.5,01-073-2003,9
AL,1,1/16/20,31,Good,Ozone,01-073-0023,9
AL,1,1/17/20,34,Good,Ozone,01-073-0023,8
AL,1,1/18/20,34,Good,PM2.5,01-073-6004,8
AL,1,1/19/20,37,Good,Ozone,01-073-0023,8
AL,1,1/20/20,39,Good,PM2.5,01-073-0023,8
AL,1,1/21/20,36,Good,PM2.5,01-073-2003,8
AL,1,1/22/20,40,Good,NO2,01-073-0023,8
AL,1,1/23/20,33,Good,PM2.5,01-073-2003,8
AL,1,1/24/20,73,Moderate,PM2.5,01-073-6004,9
AL,1,1/25/20,51,Moderate,PM2.5,01-073-6004,8
AL,1,1/26/20,54,Moderate,PM2.5,01-073-0023,8
AL,1,1/27/20,45,Good,PM2.5,01-073-6004,8
AL,1,1/28/20,67,Moderate,PM2.5,01-073-0023,9
AL,1,1/29/20,39,Good,PM2.5,01-073-2003,8
AL,1,1/30/20,54,Moderate,PM2.5,01-073-0023,8
AL,1,1/31/20,48,Good,PM2.5,01-073-2003,8
AL,1,2/1/20,46,Good,PM2.5,01-073-0023,8
AL,1,2/2/20,39,Good,Ozone,01-073-0023,8
AL,1,2/3/20,46,Good,PM2.5,01-073-2003,9
AL,1,2/4/20,42,Good,Ozone,01-073-0023,8
AL,1,2/5/20,34,Good,PM2.5,01-073-0023,8
